"filename", "language", "XML", "Batch", "YAML", "Java Properties", "Java", "comment", "blank", "total"
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/repository/SaleRepository.java", "Java", 0, 0, 0, 0, 10, 0, 6, 16
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/repository/StockRepository.java", "Java", 0, 0, 0, 0, 9, 0, 4, 13
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/repository/UserRepository.java", "Java", 0, 0, 0, 0, 10, 0, 4, 14
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/service/AddressService.java", "Java", 0, 0, 0, 0, 19, 0, 6, 25
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/service/CategoryService.java", "Java", 0, 0, 0, 0, 27, 0, 9, 36
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/service/CustomerService.java", "Java", 0, 0, 0, 0, 24, 0, 7, 31
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/service/EmailService.java", "Java", 0, 0, 0, 0, 18, 0, 6, 24
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/service/PaymentService.java", "Java", 0, 0, 0, 0, 19, 0, 8, 27
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/service/ProductService.java", "Java", 0, 0, 0, 0, 43, 2, 12, 57
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/service/SaleItemService.java", "Java", 0, 0, 0, 0, 20, 0, 7, 27
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/service/SaleService.java", "Java", 0, 0, 0, 0, 27, 0, 9, 36
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/service/StockService.java", "Java", 0, 0, 0, 0, 19, 0, 6, 25
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/service/UserService.java", "Java", 0, 0, 0, 0, 49, 2, 13, 64
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/utils/AuthUtils.java", "Java", 0, 0, 0, 0, 34, 1, 5, 40
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/java/com/kinematech/kinematech_backend/utils/JwtUtils.java", "Java", 0, 0, 0, 0, 40, 0, 9, 49
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/main/resources/application.properties", "Java Properties", 0, 0, 0, 21, 0, 0, 5, 26
"/home/joao/Documents/kinematech/Kinematech-Backend/kinematech-backend/src/test/java/com/kinematech/kinematech_backend/KinematechBackendApplicationTests.java", "Java", 0, 0, 0, 0, 9, 0, 5, 14
"Total", "-", 91, 108, 16, 24, 1480, 71, 488, 2278
